"","1_Exiqon_19715582_S01","1_Exiqon_19715583_S01","1_Exiqon_19715584_S01","1_Exiqon_19715585_S01","1_Exiqon_19715586_S01","1_Exiqon_19715588_S01","1_Exiqon_19715589_S01","1_Exiqon_19715590_S01","1_Exiqon_19715591_S01","1_Exiqon_19715592_S01","1_Exiqon_19715593_S01","1_Exiqon_19715594_S01","1_Exiqon_19715595_S01","1_Exiqon_19715597_S01","1_Exiqon_19715598_S01","1_Exiqon_19715599_S01","1_Exiqon_19715600_S01","1_Exiqon_19715602_S01","1_Exiqon_19715603_S01","1_Exiqon_19715607_S01","1_Exiqon_19715608_S01","1_Exiqon_19715609_S01","1_Exiqon_19715610_S01","1_Exiqon_19715611_S01","1_Exiqon_19715612_S01","1_Exiqon_19715613_S01","1_Exiqon_19715614_S01","1_Exiqon_19715615_S01","1_Exiqon_19715616_S01","1_Exiqon_19715617_S01","1_Exiqon_19715618_S01","1_Exiqon_19715619_S01","1_Exiqon_19715620_S01","1_Exiqon_19715621_S01","1_Exiqon_19715622_S01","1_Exiqon_19715625_S01"
"hsa-miR-4752",6.29793833707304,6.31325305817985,6.38382582088574,6.34768615360849,6.3479445077166,6.45011334664688,6.39189336607133,6.45555845537741,6.423474832368,6.41907781238414,6.33298920785361,6.33390109235045,6.36060414121931,6.42604279096608,6.50618554178212,6.44541167691629,6.36628308048893,6.36104404283639,6.41381425440323,6.43347994057405,6.39214576738618,6.36323447723804,6.42841821194998,6.4252900889068,6.46038476338124,6.56320625345437,6.35739794274015,6.39404028123765,6.43448666635447,6.50866407400828,6.4883879718918,6.55319948674453,6.42847307779893,6.44039913178693,6.4252390009972,6.4678255552323
"hsa-miR-4753-3p",6.38339447507797,6.34583173127874,6.40580014700756,6.40269099876835,6.41307489920452,6.44842055200527,6.47410510942072,6.48602554358835,6.50223972979767,6.50786932998077,6.4957348090592,6.55087006387876,6.41693409007442,6.43210736927982,6.46432455017813,6.46149936491608,6.39597868453996,6.50706522426423,6.37645524772795,6.43720766606624,6.44858837331817,6.43625675910395,6.73879403664529,6.46039068730546,6.52295161061149,6.42375521511522,6.43440243258269,6.46054452260581,6.64328939963037,6.46418940614812,6.5338830284812,6.4940554046647,6.47903813544466,6.46154301337138,6.46303973537593,6.4562701406733
"hsa-miR-4753-5p",6.28869184676138,6.24133871424852,6.2927700084123,6.26720191153063,6.33640420524415,6.34845542062596,6.33647416218616,6.35419321555738,6.39685328090162,6.48916221948649,6.36867420420831,6.53443613748941,6.34200876748792,6.30890912587788,6.35541173417645,6.35140390270695,6.32107412503811,6.31575451413946,6.30349621866042,6.34183206481495,6.34257826397373,6.31056899195846,6.31301992486828,6.41142363109574,6.40006935679457,6.37388475842338,6.37170527178451,6.42874037196129,6.3358578384941,6.38572258760489,6.48834077026944,6.46516880366693,6.38243487463462,6.37272418977318,6.3922731568302,6.43293344522454
"hsa-miR-4754",6.40324880471004,6.42796395932905,6.34688228304787,6.47145948324536,6.47765194351941,6.648110857087,6.50576720087792,6.4791047383692,6.49901621611743,6.52199942454123,6.49122186179036,6.52142478134345,6.44409358353361,6.55754531736928,6.53605836784282,6.50522113301274,6.49800406765092,6.64426610143872,6.47403349151932,6.52545171918039,6.44098781307414,6.45926491822492,6.37970656013425,6.54338613497081,6.56312307465091,6.44415738449116,6.55831150415304,6.46880527003839,6.50156543691453,6.47567914430323,6.55086455794593,6.5860874192066,6.50622909217308,6.5163950379426,6.53833599758712,6.50445364083572
"hsa-miR-4755-3p",6.32264330747954,6.32256671758347,6.37065971466515,6.3372431607131,6.35456207284283,6.32951877681012,6.37713400336101,6.42090536352682,6.48687136450191,6.52409528717941,6.37804760765296,6.48918042207176,6.38913431286499,6.3630638969183,6.35082407598173,6.37592170129105,6.38349298533924,6.37150466244721,6.27163490183177,6.34321383705985,6.30869812221474,6.32576137426877,6.28751072494267,6.35311251852019,6.48268832278459,6.43963758497694,6.40441426947658,6.45758937011092,6.42606834665402,6.35940025611758,6.58785910507765,6.494895846256,6.42335266210184,6.43029370182044,6.40817419632723,6.4268874640443
"hsa-miR-4755-5p",6.35864737439768,6.3579237973307,6.36763217535502,6.45649378937067,6.38900768057923,6.44159023331996,6.42349786917278,6.49959521868208,6.4104469915938,6.4542751311391,6.47824790455376,6.48111332097019,6.41472567295377,6.54939937859679,6.49415245761452,6.41092272696252,6.44521271449739,6.56370717715961,6.39014547933751,6.42400433757311,6.43293828598637,6.52678206108177,7.81752410544065,6.49383333572818,6.47917587080528,6.39254943575685,6.41771988371783,6.45606916095065,6.44714867155676,6.47865632017646,6.52759685020761,6.50653106421014,6.47441425673378,6.45012756884381,6.4461800484501,6.45877288839018
"hsa-miR-4756-3p",6.73385889341043,6.72682561693043,6.76728240062122,6.67932114059314,6.7531532949909,6.68774944722231,6.78157544211435,6.78873551146526,6.65623502962448,6.65635296112891,6.69810888813575,6.73060148508436,6.75736585032848,6.68464964152786,6.72563648978943,6.70869587592296,6.68829304769235,6.72698769621,6.65127709507061,6.68963591530576,6.69967615844969,6.70322596319545,6.74076963336166,6.68097062064814,6.72284135611388,6.62078895922913,6.67740364060864,6.68213972499454,6.71523602693894,6.72995903056061,6.71669937469924,6.81038897258715,6.74337711094752,6.73929239932254,6.71304769107998,6.71651966947483
"hsa-miR-4756-5p",6.33484482302585,6.36508935546753,6.35523664815622,6.33082248734637,6.32513476210451,6.36328751010381,6.41371255055991,6.38162396998793,6.45112499312168,6.45021446682445,6.39893592452331,6.44573186306697,6.42128459322319,6.40593975164696,6.40869895852532,6.40648478325375,6.38164985953452,6.36898584040121,6.31358934108872,6.34865661815116,6.38172432191777,6.3616304266078,6.40217212205957,6.4205964656591,6.48425755880962,6.37732091114314,6.39117762838967,6.51525034704557,6.40795962272541,6.42751629069785,6.50749924394149,6.45781967060767,6.38798934059626,6.40673114079292,6.40527337780609,6.52561459350683
"hsa-miR-4757-3p",6.28982430504354,6.20797660302954,6.27569878662203,6.32787040501412,6.26986455426312,6.31320499221239,6.34139867737281,6.34118093242392,6.42802773422546,6.46213897213415,6.34782912116414,6.32210525593068,6.25342093633895,6.27265126615349,6.31326389191508,6.38834183326042,6.24898405732717,6.25941748753755,6.2296481838563,6.30246548271981,6.28368091596674,6.3155204911017,6.27451007217895,6.31517468995561,6.42698395371611,6.34110061203216,6.64293236955387,6.48859593547576,6.30427472935599,6.35043671314678,6.56046289138874,6.47803062736739,6.37667630873875,6.36821721434014,6.4250339778206,6.40429250588508
"hsa-miR-4757-5p",6.27277129601092,6.25800263994514,6.30112402012194,6.31218622754682,6.31538172482029,6.33464569245653,6.34771331803381,6.35067235459789,6.44201286992042,6.42267344519151,6.39532735099502,6.60806911657982,6.29530384729451,6.39785059151165,6.34309412865824,6.37925712060771,6.34836990367134,6.30844993971186,6.25341337488508,6.33877537775846,6.35296924016151,6.32617684964492,6.36512080501234,6.33410721936711,6.39217584968562,6.42132649933368,6.37415264440164,6.44110450830512,6.44802112322921,6.40203438717506,6.5437027772615,6.440226051074,6.36795642939847,6.43804965862571,6.40600353123011,6.42896570520268
